,Time,Car,Driver,Year
0,452.0,Alfa Romeo Giulia Quadrifoglio (2015),Fabio Francia,2016.0
1,510.0,Alfa Romeo Giulietta QV,,
2,471.7,Alfa Romeo Stelvio Quadrifoglio (2018),Fabio Francia,2017.0
3,494.0,Artega GT,Horst von Saurma,2010.0
4,482.0,Aston Martin DBS,Horst von Saurma,
5,483.0,Aston Martin V8 Vantage (2005),Horst von Saurma,
6,463.92,Aston Martin V8 Vantage (2019),Christian Gebhardt,2019.0
7,470.0,Aston Martin V8 Vantage GT8,Christian Gebhardt,2017.0
8,472.0,Aston Martin V12 Vantage S,Horst von Saurma,2014.0
9,484.0,Audi R8 4.2 FSI quattro,Horst von Saurma,2007.0
10,464.0,Audi R8 Coupé 5.2 FSI quattro,,
11,452.0,"Audi R8 V10 Plus (4S, 2015)",Christian Gebhardt,2015.0
12,489.0,Audi RS4,Horst von Saurma,
13,506.0,Audi S5,Horst von Saurma,
14,468.4,Audi TT RS (8S),Christian Gebhardt,2017.0
15,509.0,Audi TTS Coupé,Horst von Saurma,
16,495.0,BMW 1 Series M Coupé (E82),Horst von Saurma,2011.0
17,506.0,BMW 335i Coupé (E92),Horst von Saurma,2006.0
18,494.0,BMW Alpina B3 (E92) Biturbo Coupé,Horst von Saurma,
19,490.0,BMW Alpina B6 S,Horst von Saurma,
20,493.0,BMW E60 M5,Horst von Saurma,2004.0
21,474.0,BMW F10 M5 Competition,Horst von Saurma,2014.0
22,478.0,BMW M2 (F22),,2015.0
23,472.36,BMW M2 Competition (F22),Christian Gebhardt,2018.0
24,530.0,BMW M3 (E30),,2010.0
25,470.0,"BMW M3 CSL (E46, 2004)",Horst von Saurma,2003.0
26,515.0,BMW M3 E36,Horst von Saurma,1997.0
27,502.0,BMW M3 E36/8,Horst von Saurma,
28,502.0,BMW M3 E46,Horst von Saurma,2000.0
29,485.0,BMW M3 E92,Horst von Saurma,
30,468.0,"BMW M3 GTS Coupé (E92, 2011)",Horst von Saurma,2011.0
31,472.0,BMW M4,Horst von Saurma,2014.0
32,447.88,BMW M4 GTS,Joerg Weidinger,2015.0
33,457.0,BMW M4 GTS,Christian Gebhardt,2016.0
34,458.92,BMW M5 (F90),Christian Gebhardt,2018.0
35,455.9,BMW M5 Competition (F90),Christian Gebhardt,2019.0
36,489.0,BMW M6 (E63),Horst von Saurma,
37,498.0,"BMW M135i (F20, 2012)",Horst von Saurma,2012.0
38,492.0,BMW Z4 M Coupe,,
39,487.0,BMW Z8 E52,,
40,464.0,Bugatti EB110 SS,Loris Bicocchi,1993.0
41,460.0,Bugatti Veyron 16.4,,2005.0
42,479.32,Cadillac CTS-V (2009),John Heinricy,2008.0
43,475.0,Caterham R500 Superlight,Robert Nearn,
44,500.0,Chevrolet Camaro SS (2010),,2008.0
45,457.4,Chevrolet Camaro Z/28 (2014),Adam Dean,2013.0
46,461.27,Chevrolet Camaro ZL1 (2012),Aaron Link,2011.0
47,449.6,Chevrolet Camaro ZL1 (2017),Drew Cattell,2016.0
48,436.04,Chevrolet Camaro ZL1 1LE (2018),Bill Wise,2017.0
49,542.0,Chevrolet Cobalt SS Turbo,John Heinricy,2007.0
50,502.85,Chevrolet Cobalt SS/TC (2007),,
51,449.9,Chevrolet Corvette (C8) (2020),Oliver Gavin,2019.0
52,520.0,Chevrolet Corvette C5,,
53,476.0,Chevrolet Corvette C5 Z06,Dave Hill,
54,469.0,Chevrolet Corvette C6 Z06,Horst von Saurma,2007.0
55,442.68,Chevrolet Corvette C6 Z06 (2012),Jim Mero,2011.0
56,458.0,Chevrolet Corvette C6 ZR1,Horst von Saurma,2009.0
57,461.5,Chevrolet Corvette C6 ZR1,Sascha Bert,2010.0
58,446.4,Chevrolet Corvette C6 ZR1 (2009),Jim Mero,2008.0
59,439.63,Chevrolet Corvette C6 ZR1 (2012),Jim Mero,2011.0
60,433.9,Chevrolet Corvette C7 Z06,Christian Gebhardt,2017.0
61,504.0,Cosworth Type 25 STI spec C (2010),Mark Chandler,
62,442.1,Dodge Viper ACR (2009),Tom Coronel,2008.0
63,432.13,Dodge Viper ACR (2010),Dominik Farnbacher,2011.0
64,421.3,Dodge Viper ACR (2017),Lance David Arnold,2017.0
65,490.0,Dodge Viper GTS,Horst von Saurma,
66,493.0,Dodge Viper SRT-10 roadster (ZB),Horst von Saurma,2007.0
67,434.89,Donkervoort D8 RS,Michael Düchting,2006.0
68,438.1,Donkervoort D8 RS,Michael Düchting,2004.0
69,498.0,Ferrari 355,,
70,476.0,Ferrari 360 Challenge Stradale F1,Horst von Saurma,
71,459.0,Ferrari 430 Scuderia,Horst von Saurma,2008.0
72,458.0,Ferrari 458 Italia,Horst von Saurma,2010.0
73,441.63,Ferrari 488 GTB,Christian Gebhardt,2016.0
74,420.03,Ferrari 488 Pista,Christian Gebhardt,2019.0
75,467.0,Ferrari 599 GTB Fiorano,Horst von Saurma,2007.0
76,447.48,Ferrari 812 Superfast,Christian Gebhardt,2018.0
77,445.21,Ferrari Enzo Ferrari,Marc Basseng,2008.0
78,475.0,Ferrari F430 F1,Horst von Saurma,2005.0
79,486.29,"Ford Focus RS (Mk III, 2016)",Christian Gebhardt,
80,506.0,Ford Focus RS (Mk2),Horst von Saurma,2009.0
81,515.0,Ford Focus ST,Patrick Bernhard,2005.0
82,487.0,Ford Mustang GT Performance Pack,Horst von Saurma,2015.0
83,431.57,Gumpert Apollo Sport,Florian Gruber,2009.0
84,444.0,Gumpert Apollo Sport,Horst von Saurma,2010.0
85,499.47,Holden VF SS Redline Ute,Rob Trubiani,2013.0
86,495.0,Honda Civic Type R (FK2),Christian Gebhardt,2016.0
87,463.8,Honda Civic Type R (FK8),,2017.0
88,527.0,Honda Civic Type-R 2.0i LS,Horst von Saurma,2001.0
89,518.0,Honda NSX,,
90,486.56,Honda NSX (NA1),Fredrik Sørlie,2016.0
91,496.15,Honda NSX (NA1),Motoharu Kurosawa,1990.0
92,456.0,"Honda NSX (NC1, 2016)",Christian Gebhardt,2017.0
93,489.0,Honda NSX-R (facelift),Horst von Saurma,
94,483.86,Honda NSX-R (NA1),Motoharu Kurosawa,1992.0
95,476.73,Honda NSX-R (NA2),Motoharu Kurosawa,2002.0
96,519.0,Honda S2000,Horst von Saurma,
97,523.0,Hyundai Genesis Coupe 3.8L,Dmitry Sokolov,2011.0
98,443.164,Jaguar XE SV Project 8 (2018),Vincent Radermecker,2019.0
99,505.0,Jaguar XKR,Horst von Saurma,2006.0
100,483.0,Jaguar XKR-S,Horst von Saurma,
101,454.0,Koenigsegg CCR,Horst von Saurma,2005.0
102,453.55,Koenigsegg CCX,Marc Basseng,2008.0
103,445.72,KTM X-Bow RR,Christopher Haase,2012.0
104,445.0,Lamborghini Aventador LP700-4,Horst von Saurma,2012.0
105,419.73,Lamborghini Aventador SuperVeloce LP750-4 (2015),Marco Mapelli,2015.0
106,404.97,Lamborghini Aventador SVJ LP770-4 (2018),Marco Mapelli,2018.0
107,484.0,Lamborghini Diablo GT,Horst von Saurma,2000.0
108,489.0,Lamborghini Diablo SV,Horst von Saurma,1997.0
109,471.8,Lamborghini Gallardo LP560-4,Horst von Saurma,2008.0
110,466.0,Lamborghini Gallardo LP570-4 Superleggera,Horst von Saurma,2007.0
111,458.0,Lamborghini Gallardo Superleggera LP570-4,Horst von Saurma,2011.0
112,460.76,Lamborghini Gallardo Superleggera LP570-4,Sascha Bert,2010.0
113,448.0,Lamborghini Huracán LP610-4,Christian Gebhardt,2016.0
114,412.01,Lamborghini Huracán Performante LP640-4 (2017),Marco Mapelli,2016.0
115,460.0,Lamborghini Murcielago LP640,Giorgio Sanna,
116,467.0,Lamborghini Murcielago LP640,Horst von Saurma,2006.0
117,462.0,Lamborghini Murciélago SuperVeloce LP670-4,Horst von Saurma,
118,498.0,Lexus IS-F,Horst von Saurma,2009.0
119,458.0,Lexus LFA,Horst von Saurma,2010.0
120,458.85,Lexus LFA,Sascha Bert,2010.0
121,434.64,Lexus LFA Nürburgring Package,Akira Iida,2011.0
122,454.0,Lexus LFA Nürburgring Package,Horst von Saurma,2012.0
123,468.13,Lotus Exige Cup 380 (2017),Christian Gebhardt,2017.0
124,522.0,Lotus Exige Mk1,Horst von Saurma,
125,505.0,Lotus Exige S,Horst von Saurma,2008.0
126,444.29,Maserati MC12,Marc Basseng,2008.0
127,519.0,Mazda MAZDASPEED3 (Mazda3 MPS),Mark Ticehurst,2007.0
128,428.82,McLaren 600LT,Christian Gebhardt,2019.0
129,455.0,McLaren 650S Spider,Horst von Saurma,2015.0
130,428.34,McLaren 720S,Christian Gebhardt,2018.0
131,448.0,McLaren MP4-12C,Horst von Saurma,2011.0
132,468.8,Mercedes-AMG A 45 S 4Matic+ (W177),Christian Gebhardt,2019.0
133,464.13,Mercedes-AMG C 63 S Coupé (W205),Christian Gebhardt,2019.0
134,465.19,Mercedes-AMG E63 S 4Matic+ (T-Modell Wagon),Christian Gebhardt,2017.0
135,445.41,Mercedes-AMG GT 4-Door Coupé 63 S 4MATIC+,Demian Schaffert,2018.0
136,443.009,Mercedes-AMG GT 4-Door Coupé GT 63 S 4MATIC+ (2021),Demian Schaffert,2020.0
137,403.616,Mercedes-AMG GT Black Series,Maro Engel,2020.0
138,430.92,Mercedes-AMG GT R (2017),Christian Gebhardt,2016.0
139,424.632,Mercedes-AMG GT R Pro,Maro Engel,2018.0
140,426.6,Mercedes-AMG GT R Pro,Christian Gebhardt,2019.0
141,455.0,Mercedes-AMG GT S,,2016.0
142,466.0,Mercedes-Benz C 63 AMG Coupe Black Series,Horst von Saurma,2011.0
143,502.0,Mercedes-Benz C55 AMG (W203),Horst von Saurma,2004.0
144,493.0,Mercedes-Benz C63 AMG (W204),Horst von Saurma,2008.0
145,474.0,"Mercedes-Benz CLK DTM AMG (W209, 2004)",Marcus Schurig,
146,482.0,Mercedes-Benz CLK63 AMG Black Series,,
147,485.0,Mercedes-Benz CLK63 Black Series,Horst von Saurma,2007.0
148,475.0,Mercedes-Benz E63 AMG S 4Matic,Horst von Saurma,2013.0
149,471.0,Mercedes-Benz SL65 AMG Black Series,,2009.0
150,460.0,Mercedes-Benz SLR McLaren,Klaus Ludwig,
151,472.0,Mercedes-Benz SLR McLaren,Klaus Ludwig,2004.0
152,460.0,Mercedes-Benz SLS AMG,Horst von Saurma,2010.0
153,464.42,Mercedes-Benz SLS AMG,Sascha Bert,2010.0
154,445.67,Mercedes-Benz SLS AMG Black Series,,2013.0
155,450.0,Mercedes-Benz SLS AMG GT (2012),,2012.0
156,508.0,Mini John Cooper Works Pro (F56),Christian Gebhardt,2017.0
157,491.16,Mitsubishi Lancer Evo IX,Takayuki Kinoshita,
158,504.0,Mitsubishi Lancer Evo VI,Horst von Saurma,1999.0
159,505.0,Mitsubishi Lancer Evo VII,Horst von Saurma,2002.0
160,494.98,Mitsubishi Lancer Evolution VIII MR GSR,Motoharu Kurosawa,2003.0
161,506.0,Nissan 350Z,Horst von Saurma,
162,458.0,Nissan GT-R,Horst von Saurma,2009.0
163,463.65,Nissan GT-R,Sascha Bert,2010.0
164,474.0,Nissan GT-R,,2008.0
165,446.7,Nissan GT-R (2009),Toshio Suzuki,2009.0
166,449.03,Nissan GT-R (2009),Toshio Suzuki,2008.0
167,444.22,Nissan GT-R (2011),Toshio Suzuki,2010.0
168,454.0,Nissan GT-R (2011),Horst von Saurma,2010.0
169,439.1,Nissan GT-R (2013),,2012.0
170,456.0,Nissan GT-R (R35),Horst von Saurma,2011.0
171,454.46,Nissan GT-R Spec-V,,2009.0
172,502.38,Nissan Skyline GT-R R32,Motoharu Kurosawa,1989.0
173,479.0,Nissan Skyline GT-R R33 V-Spec,Dirk Schoysman,1996.0
174,534.0,Opel Corsa 1.6 Turbo OPC,Horst von Saurma,2008.0
175,527.99,Opel Corsa OPC,Manuel Reuter,2007.0
176,453.0,Pagani Zonda F,Horst von Saurma,2006.0
177,444.44,Pagani Zonda F Clubsport,Marc Basseng,2008.0
178,447.82,Pagani Zonda F Clubsport (2005),Marc Basseng,2007.0
179,464.0,Pagani Zonda S 7.3 (2002),Horst von Saurma,2002.0
180,466.7,Porsche 718 Cayman S (982),Christian Gebhardt,2016.0
181,508.0,Porsche 911 Carrera (993),Horst von Saurma,
182,443.77,Porsche 911 Carrera GTS (991.2),Christian Gebhardt,2017.0
183,503.12,Porsche 911 Carrera RS (964),Christian Gebhardt,2019.0
184,453.67,Porsche 911 Carrera S (991.2),Christian Gebhardt,2016.0
185,457.9,Porsche 911 Carrera S (991),Timo Kluck,2012.0
186,450.41,Porsche 911 Carrera S (992),Christian Gebhardt,2019.0
187,479.0,Porsche 911 Carrera S (996),Walter Röhrl,
188,470.0,"Porsche 911 Carrera S (997.2, 2009)",Horst von Saurma,2008.0
189,451.0,"Porsche 911 GT2 (997, 2007)",Walter Röhrl,2007.0
190,453.0,"Porsche 911 GT2 (997, 2007)",Horst von Saurma,2007.0
191,466.0,Porsche 911 GT2 (1999),Horst von Saurma,
192,398.835,Porsche 911 GT2 RS (991.2),Lars Kern,2021.0
193,407.25,Porsche 911 GT2 RS (991.2),Lars Kern,2017.0
194,418.28,Porsche 911 GT2 RS (991.2),Christian Gebhardt,2018.0
195,438.0,Porsche 911 GT2 RS (997.2),Timo Kluck,2010.0
196,444.0,Porsche 911 GT2 RS (997.2),Horst von Saurma,2010.0
197,432.7,Porsche 911 GT3 (991.2),Lars Kern,2017.0
198,438.0,Porsche 911 GT3 (991.2),Christian Gebhardt,2017.0
199,452.0,Porsche 911 GT3 (991),Horst von Saurma,2013.0
200,415.34,"Porsche 911 GT3 (992, 2022)",Lars Kern,2020.0
201,474.0,Porsche 911 GT3 (996),Horst von Saurma,2003.0
202,483.0,Porsche 911 GT3 (996),Horst von Saurma,
203,468.0,Porsche 911 GT3 (997.1),Horst von Saurma,2006.0
204,460.0,Porsche 911 GT3 (997.2),Horst von Saurma,2009.0
205,462.0,Porsche 911 GT3 (997),Walter Röhrl,
206,416.4,Porsche 911 GT3 RS (991.2),Kévin Estre,2018.0
207,425.41,Porsche 911 GT3 RS (991.2),Christian Gebhardt,2018.0
208,467.0,Porsche 911 GT3 RS (996),Horst von Saurma,2004.0
209,468.0,Porsche 911 GT3 RS (997.1),Horst von Saurma,2007.0
210,453.0,Porsche 911 GT3 RS (997.2),Horst von Saurma,2010.0
211,476.0,Porsche 911 Turbo (996),Horst von Saurma,
212,458.0,Porsche 911 Turbo (997),,2008.0
213,474.0,Porsche 911 Turbo (997),Horst von Saurma,2007.0
214,488.73,Porsche 911 Turbo 3.3,Motoharu Kurosawa,1991.0
215,437.11,Porsche 911 Turbo S (991.2),Christian Gebhardt,2017.0
216,454.0,Porsche 911 Turbo S (991),Horst von Saurma,2014.0
217,461.23,Porsche 911 Turbo S (997.2),Sascha Bert,2010.0
218,417.0,Porsche 918 Spyder,Marc Lieb,2013.0
219,433.0,Porsche 918 Spyder,Horst von Saurma,2014.0
220,512.0,Porsche Boxster S,Horst von Saurma,
221,484.0,Porsche Boxster S (981),Horst von Saurma,2012.0
222,503.0,"Porsche Boxster S (987, 2006)",Horst von Saurma,2006.0
223,498.0,"Porsche Boxster S (987, 2009)",Horst von Saurma,2009.0
224,490.0,Porsche Boxster S (987),,
225,448.0,Porsche Carrera GT (980),Walter Röhrl,2004.0
226,448.71,Porsche Carrera GT (980),Marc Basseng,2008.0
227,452.4,Porsche Carrera GT (980),Horst von Saurma,2003.0
228,493.0,Porsche Cayenne Turbo (958),,2012.0
229,479.74,Porsche Cayenne Turbo S (958.2),,
230,462.39,Porsche Cayman GT4 (981),Christian Gebhardt,2015.0
231,497.0,"Porsche Cayman S (987, 2009)",Horst von Saurma,2009.0
232,505.0,Porsche Cayman S (987),Horst von Saurma,2006.0
233,476.0,Porsche Panamera Turbo,Walter Röhrl,
234,458.0,Porsche Panamera Turbo (2017),,2016.0
235,449.81,Porsche Panamera Turbo (2020),Lars Kern,2020.0
236,472.0,Porsche Panamera Turbo S (970),Horst von Saurma,
237,462.34,Porsche Taycan Turbo,Lars Kern,2019.0
238,415.0,Radical SR8,Michael Vergers,2005.0
239,408.28,Radical SR8 LM,Michael Vergers,2009.0
240,535.0,Range Rover Sport Supercharged (2010),Paul Wijgaertz,2009.0
241,494.0,Range Rover Sport SVR (2015),,2014.0
242,460.1,Renault Mégane R.S. Trophy-R,Laurent Hurgon,2019.0
243,465.389,Renault Mégane R.S. Trophy-R,Laurent Hurgon,2019.0
244,475.12,Renault Mégane R.S. Trophy-R (No. 25 of 500),Christian Gebhardt,2019.0
245,487.97,Renault Mégane RenaultSport 265 Trophy,Laurent Hurgon,2011.0
246,474.36,Renault Mégane RS 275 Trophy-R,Laurent Hurgon,2014.0
247,496.9,Renault Mégane RS R26.R,Vincent Baylé,2008.0
248,455.0,Ruf Rt 12,Horst von Saurma,2008.0
249,523.3,SEAT León Cupra R Mk1,Øistein Helland,2010.0
250,478.4,SEAT León Mk3 Cupra,Jordi Gené,2014.0
251,486.01,Subaru WRX STi Spec-C,Motoharu Kurosawa,2004.0
252,540.0,Tesla Model 3 Performance,,2019.0
253,530.0,Tesla Model S P85D,,2015.0
254,472.17,Toyota GR Supra (A90/J29),Christian Gebhardt,2019.0
255,961.0,Trabant P50,Factory team of VEB Sachsenring,1960.0
256,533.0,Volkswagen Golf GTI (Mk5),Horst von Saurma,2005.0
257,469.21,Volkswagen Golf GTI Clubsport S,Benny Leuchter,2016.0
258,467.19,Volkswagen Golf GTI Clubsport S (2016),,2016.0
259,516.0,Volkswagen Golf Mk5 VW R32 MKV DSG,RRRRpower,2009.0
260,549.0,Volkswagen Lupo GTI,Daniel Schwerfeld,2002.0
261,527.0,Volkswagen Scirocco 2.0 TSI,Bernt Bråten Andersen,2009.0
262,484.92,VW Golf GTI TCR (2019),Christian Gebhardt,2019.0
263,423.06,Dodge Viper ACR-X,,2012.0
264,470.63,Honda Civic Type R Prototype,,2014.0
265,495.0,BMW Z4 M Roadster Prototype,,2009.0
266,429.59,Porsche 911 GT3 RS MR (991.1) by Manthey Racing,Christian Gebhardt,2017.0
267,536.81,Chery Riich G5 2.0T,Dirk Schoysman,2009.0
268,470.0,BMW X5 (E53) LM,Hans-Joachim Stuck,2000.0
269,469.0,Toyota Supra,Herbert Schürg,1997.0
270,442.329,Toyota TMG EV P002,Jochen Krumbach,2012.0
271,466.0,Jaguar XJ220 Prototype,John Nielsen,1991.0
272,449.5,BMW M5 (F90) by AC Schnitzer,Jörg Müller,2018.0
273,403.22,McLaren P1 XP1 LM Prototype,Kenny Bräck,2017.0
274,400.33,Porsche 911 GT2 RS MR (991.2) by Manthey Racing,Lars Kern,2018.0
275,407.5,Pagani Zonda R,Marc Basseng,2010.0
276,499.8,BMW i8 by AC Schnitzer,Markus Oestreich,2017.0
277,428.679,Nissan GT-R Nismo,Michael Krumm,2013.0
278,481.72,Nissan Skyline GT-R R33,Motoharu Kurosawa,1995.0
279,435.63,Porsche 911 GT2 (996) by Edo Competition,Patrick Simon,2005.0
280,405.9,NIO EP9,Peter Dumbreck,2017.0
281,425.12,NIO EP9,Peter Dumbreck,2016.0
282,418.16,Ferrari 599XX,Raffaele de Simone,2010.0
283,522.72,Electric Raceabout,Ralf Kelleners,2011.0
284,417.578,Subaru WRX STI Type RA NBR Special,Richie Stanaway,2017.0
285,365.336,Volkswagen ID.R,Romain Dumas,2019.0
286,552.0,Jaguar S-Type Diesel,Sabine Schmitz,2004.0
287,608.49,Ford Transit,Sabine Schmitz,
288,440.143,Lynk & Co 03 Cyan Concept,Thed Björk,2019.0
289,592.0,"Mini E racer, Electric",Thomas Jäger,2010.0
290,319.546,Porsche 919 Hybrid EVO,Timo Bernhard,2018.0
291,475.0,Subaru Impreza WRX STi Sedan (2011) Prototype,Tommi Mäkinen,2010.0
